sequence,candidate_id,headline,event_bucket,announcement_key,primary_source,supporting_sources,confidence
1,R001,AWS to Launch Saudi Cloud Region in December 2026 with HUMAIN AI Zone,Both,AWS Saudi cloud region + HUMAIN AI Zone (Dec 2026 + 50MW by 2028),https://www.aboutamazon.com/news/aws/aws-cloud-region-saudi-arabia,https://www.securities.io/aws-to-open-first-saudi-arabia-cloud-region-in-december-2026/,95
2,R002,HUMAIN and DataVolt Break Ground on 100MW AI Data Center at NEOM,Both,HUMAIN + DataVolt break ground on 100MW of 360MW AI DC at NEOM Oxagon,https://data-volt.com/media/breaking-news/humain-partners-datavolt-develop-100mw-of-a-360mw-ai-datacenter-in-neom/,https://www.neom.com/en-us/newsroom/HUMAIN-and-DataVolt-to-develop-AI-data-center-in-NEOM | https://www.reuters.com/business/energy/saudi-ai-firms-humain-datavolt-partner-data-center-kingdoms-red-sea-coast-2026-08-31/ | https://w.media/datavolt-and-humain-break-ground-on-first-ai-data-center-in-neom/,95
3,R003,Adobe grants $4B in free AI tools to 27M Saudi residents,LEAP 2026,Adobe + MCIT + HUMAIN $4B access to AI tools for 27M residents + culturally tuned model,https://news.adobe.com/news/2026/08/adobe-mcit-and-humain-expand-partnership,https://techafricanews.com/2026/08/31/adobe-humain-mcit-ai-creative-tools-saudi-arabia/ | https://www.argaam.com/en/article/articledetail/id/1932978?amp | https://www.rttnews.com/3686966/adobe-expands-partnership-in-saudi-with-mcit-and-humain.aspx,95
4,R004,HONOR to Unveil World's First Robot Phone at LEAP 2026,LEAP 2026,HONOR to debut world’s first Robot Phone,https://saudigazette.com.sa/article/664013,,95
5,R005,"AMD, MCIT and DCO Launch Open AI Developer Ecosystem at LEAP 2026",DeepFest 2026,"AMD + MCIT + DCO open AI developer ecosystem (ROCm, governance training)",https://newsroom.amd.com/news/amd-saudi-arabia-digital-cooperation-organization-open-developer-ecosystem/,https://x.com/LEAPandInnovate/status/2092575336957448329,95
6,R006,HUMAIN and MinIO Partner to Build AI-Native Data Fabric at LEAP 2026,DeepFest 2026,HUMAIN + MinIO strategic partnership to co-develop HUMAIN Fabric (AI-native data platform),https://www.prnewswire.com/news-releases/humain-and-minio-announce-strategic-partnership-to-build-ai-data-fabric-302865004.html,,95
7,R009,HUMAIN and KORA Co-Develop AI-Native Linux OS for 2027 Launch,DeepFest 2026,HUMAIN + KORA to co-develop HUMAIN OS (AI-native enterprise Linux) for 2027,https://www.prnewswire.com/news-releases/humain-and-kora-partner-to-build-operating-system-at-leap-2026-302865087.html,https://www.unite.ai/de/humain-and-kora-partner-to-build-ai-native-linux-os-at-leap-2026/,95
8,R010,ACES and Movandi Partner on Saudi 5G and 6G Infrastructure,LEAP 2026,ACES + Movandi MoU to localize 5G/6G infra (mmWave + Open RAN),https://www.businesswire.com/news/home/20260831198696/en/,https://www.morningstar.com/news/business-wire/20260831198696/aces-and-movandi-announce-strategic-partnership-to-accelerate-next-generation-5g-and-6g-wireless-infrastructure-in-saudi-arabia-and-the-middle-east-at-leap-2026 | https://ca.finance.yahoo.com/news/aces-movandi-announce-strategic-partnership-103000916.html,95
9,R011,Lenovo Unveils First Saudi-Made Laptop at LEAP 2026 Ahead of Mass Production,LEAP 2026,Lenovo unveils first Saudi-manufactured laptop; Riyadh facility with ALAT,https://news.lenovo.com/pressroom/press-releases/unveils-first-laptop-manufactured-saudi-arabia-supporting-the-kingdoms-vision-for-advanced-manufacturing/,https://arabianreseller.com/2026/08/31/lenovo-unveils-first-laptop-manufactured-in-saudi-arabia/,95
10,R013,Pasqal and KACST Launch Quantum Cryptography Research Ahead of LEAP 2026,LEAP 2026,Pasqal + KACST quantum research collaboration (quantum-safe cryptography),https://www.globenewswire.com/news-release/2026/08/31/3353273/0/en/pasqal-and-kacst-launch-strategic-quantum-research-collaboration-as-pasqal-expands-presence-in-saudi-arabia.html,https://thequantuminsider.com/2026/08/31/pasqal-kacst-quantum-research-saudi-arabia/,100
11,R014,Data Dynamics launches Enterprise 2.0.5 at LEAP 2026 to solve AI data governance bottleneck,DeepFest 2026,"Data Dynamics Enterprise 2.0.5 GA (governed AI at data layer, BYOM, PDPL)",https://www.prnewswire.com/news-releases/data-dynamics-launches-enterprise-2-0-5-at-leap-2026--bringing-governed-ai-to-the-data-layer-302864847.html,https://finance.yahoo.com/technology/ai/articles/data-dynamics-launches-enterprise-2-095800017.html,95
12,R015,Think Unveils Think Fabric at LEAP 2026 to Optimize Bare-Metal AI Compute,DeepFest 2026,"Think unveils Think Fabric (bare-metal, heterogeneous AI compute)",https://www.prnewswire.com/news-releases/think-unveils-think-fabric-a-new-approach-to-bare-metal-heterogeneous-ai-compute-built-for-the-age-of-efficiency-302864558.html,https://think-ai.com/ | https://think-ai.com/newsroom,95
13,R017,NetApp Showcases AI-Ready Data Infrastructure and Autonomous Security at LEAP 2026,LEAP 2026,"NetApp Intelligent Data Infrastructure demos for AI-ready, autonomous data protection",https://www.zawya.com/en/press-release/companies-news/netapp-to-showcase-how-the-netapp-platform-enables-ai-ready-data-unified-storage-proactive-protection-and-complete-control-at-leap-2026-471691,https://intlbm.com/2026/08/31/netapp-boosts-enterprise-data-security-and-ai-protection-at-leap/,95
14,R018,IFS and Microsoft showcase real-world industrial AI applications at LEAP 2026,DeepFest 2026,IFS + Microsoft: Industrial AI from experimentation to execution,https://www.zawya.com/en/press-release/ifs-brings-industrial-ai-from-experimentation-to-execution-at-leap-2026-469150,https://gecnewswire.com/ifs-to-showcase-industrial-ai-at-leap-2026-in-riyadh/,95
15,R019,Smobler Explores Robin AI Expansion to Halal Compliance at LEAP 2026,LEAP 2026,Smobler explores Halal compliance expansion for Robin AI,https://www.prnewswire.com/news-releases/from-haccp-to-halal-smobler-takes-vertical-ai-food-compliance-push-to-leap-2026-302864963.html,https://smobler.io/robin-ai,95
16,R020,Voiset 2.0 Brings AI Voice Planning and Full Arabic Support to MENA at LEAP 2026,LEAP 2026,Voiset 2.0 MENA launch with full Arabic/RTL and bilingual voice,https://finance.yahoo.com/technology/ai/articles/popular-ai-planner-voiset-launches-172900543.html,https://www.voiset.io/blog/personal-planning-with-voiset-2-0,95
17,R022,Salam unveils AI-enabled cloud and connectivity infrastructure at LEAP 2026,LEAP 2026,Salam strategic sponsorship + Connectivity+ AI/cloud solutions,https://www.zawya.com/en/press-release/companies-news/salam-announces-strategic-sponsorship-of-leap-2026-471675,https://www.tahawultech.com/home-slide/salam-named-strategic-sponsor-of-leap-2026-unveils-connectivity-solutions/ | https://gulfbusiness.com/en/2026/brand-view/salam-to-showcase-ai-cloud-at-leap-2026-as-strategic-sponsor/,95
