Subject,Lead Number,Proposed Headline,Event Bucket,Announcement Date,Primary Source Title,Primary Source URL,Supporting Source URLs,Verified Angle Summary,Verified Key Facts,Canonical Companies,Canonical People,Recommended Category,Recommended Topics,SEO Keywords,Image Candidate URL,Image Credit,Image License Note,Replaced Original Lead,Replacement Reason,Confidence,Error
Qualcomm and HUMAIN launch Horizon Ultra AI PC powered by Snapdragon X2 Elite at LEAP 2026,1,Qualcomm and HUMAIN Launch Agentic AI PC at LEAP 2026,LEAP 2026,2026-08-31,Saudi Arabia’s Humain and Qualcomm unveil AI laptop - AGBI,https://www.agbi.com/tech/2026/08/saudi-arabias-humain-and-qualcomm-unveil-ai-laptop/,https://www.notebookcheck.net/Humain-teases-Snapdragon-X2-Elite-powered-Horizon-Ultra-with-mysterious-agentic-AI-operating-system.1372598.0.html,"At LEAP 2026, Qualcomm and Saudi state AI company HUMAIN unveiled the Horizon Ultra, an \""agentic AI PC\"" powered by the Snapdragon X2 Elite platform. The laptop, developed over 12 months, features an \""intent-based\"" interface that uses AI agents to execute tasks based on user intent rather than traditional application navigation. It is capable of up to 80 trillion AI operations per second and offers up to 22 hours of battery life. The device will run on Windows initially, with HUMAIN planning to introduce its own operating system in 2027. The Horizon Ultra will be available to enterprise customers starting September 20, 2026. This announcement highlights Qualcomm's deepening ties with Saudi Arabia, expanding its focus on \""hybrid AI\"" that bridges edge and cloud computing. This is a distinct hardware launch that does not duplicate previous coverage of the HUMAIN and KORA OS partnership or the HUMAIN and Adobe collaboration.","Qualcomm and HUMAIN launched the Horizon Ultra AI PC at LEAP 2026; The laptop is powered by the Snapdragon X2 Elite platform; It features an intent-based interface using agentic AI; The device can perform up to 80 trillion AI operations per second; It will be available to enterprise customers from September 20, 2026; The initial version runs on Windows, with a custom HUMAIN OS planned for 2027; The laptop offers up to 22 hours of battery life.",Qualcomm | HUMAIN,Tareq Amin | Wassim Chourbaji | Saeed Al-Dobas,Hardware,Qualcomm | HUMAIN | Artificial Intelligence | Hardware | Agentic AI | LEAP 2026,"Qualcomm, HUMAIN, Horizon Ultra, AI PC, Agentic AI, Snapdragon X2 Elite, LEAP 2026, Tareq Amin, Saudi Arabia, AI laptop",https://www.notebookcheck.net/fileadmin/Notebooks/News/_nc5/Humain-Ultra-teaser.png,HUMAIN,Editorial use only. Image via HUMAIN teaser on X.,,NA,95,
Aramco executive Ahmad O. Al-Khowaiter’s LEAP 2026 remarks and any concrete AI or digital announcement,1,"Adobe, MCIT and HUMAIN Expand Partnership at LEAP 2026",LEAP 2026,2026-08-31,"Adobe expands partnership with MCIT, HUMAIN, grants $4bn free AI tools",https://sharikatmubasher.com/news/news/article/21571674/adobe-expands-partnership-with-mcit-humain-grants-4bn-free-ai-tools?companyNews=0,NA,"At LEAP 2026, Adobe announced a massive expansion of its partnership with Saudi Arabia's Ministry of Communications and Information Technology (MCIT) and HUMAIN. The initiative will provide 27 million eligible Saudi citizens and residents with 12 months of free access to AI-powered creative tools, including Adobe Firefly Standard and Adobe Express Premium, valued at $4 billion. A key element of this partnership is the upcoming launch of a jointly developed image generation model, built with Adobe Firefly Foundry, that is tuned to Saudi culture and supports Arabic prompts. Furthermore, Adobe is offering Modern Standard Arabic right-to-left language support on Adobe Express globally. Eligible startups at MCIT’s Center of Digital Entrepreneurship (CODE) and The Garage will also receive one year of free access to select Adobe tools starting early 2027. This provides a high-impact, verifiable announcement demonstrating massive scale in digital inclusion and localized AI model development.",Adobe provides 12 months free access to Firefly Standard and Express Premium to 27M+ Saudi residents; The commitment is valued at over $4 billion; Adobe and HUMAIN are co-developing an image model tuned to Saudi culture; Adobe Express now supports Modern Standard Arabic globally; Eligible startups at CODE and The Garage get one year free access to select tools starting early 2027; The announcement was made at LEAP 2026.,Adobe | Ministry of Communications and Information Technology | HUMAIN,Abdullah Alswaha | Tareq Amin,Artificial Intelligence,Adobe | HUMAIN | Saudi Arabia | Generative AI | Digital Inclusion,"Adobe Firefly, Adobe Express, Saudi Arabia AI, HUMAIN, MCIT, LEAP 2026, generative AI, Arabic language support, creative economy",NA,NA,NA,true,"The original lead regarding Ahmad O. Al-Khowaiter did not yield a specific, verifiable, and distinct LEAP 2026 announcement, so it was replaced with the Adobe, MCIT, and HUMAIN partnership expansion.",95,
Unifonic unveils agentic AI customer-experience strategy and demonstrations at LEAP 2026,1,Unifonic Unveils Agentic AI Customer Experience Strategy at LEAP 2026,LEAP 2026,2026-08-31,Unifonic demonstrates how Agentic AI is redefining customer experiences at LEAP 2026,https://www.zawya.com/en/press-release/companies-news/unifonic-demonstrates-how-agentic-ai-is-redefining-customer-experiences-at-leap-2026-472859,https://arabianreseller.com/2026/08/31/unifonic-showcases-how-agentic-ai-is-redefining-customer-experience-at-leap-2026/,"Unifonic is using LEAP 2026 to showcase its transition to \""Agentic AI\"" for customer experience (CX). The company's platform aims to move beyond AI assistance to end-to-end execution of customer journeys while maintaining human control. A key highlight is \""Agentic Marketing,\"" an AI-powered solution for campaign execution. The announcement also highlights Unifonic's recent acquisition of Segmentify, which serves as the hyper-personalisation engine for these new agentic capabilities. The news was announced on August 31, 2026, and verified against Zawya and Arabian Reseller. A check of existing coverage files confirmed this angle has not been previously selected, making it a unique and material addition to the LEAP 2026 coverage.",Unifonic showcased its AI-native CX platform at LEAP 2026; Focus is on Agentic AI moving beyond assistance to end-to-end action; Introduced Agentic Marketing for AI-driven campaign execution; Platform supports seamless AI-to-human handover; Highlighted integration of Segmentify following recent acquisition; Segmentify provides hyper-personalisation for the agentic marketing engine; Quotes provided by CEO Ahmed Hamdan and COO Mohammed Sleeq,Unifonic | Segmentify,Ahmed Hamdan | Mohammed Sleeq,Enterprise Tech,Agentic AI | Customer Experience | Enterprise Automation | Marketing Tech,"Unifonic, Agentic AI, customer experience, LEAP 2026, AI-native CX platform, Segmentify, enterprise automation, Saudi Arabia AI",NA,NA,NA,,NA,95,
MXVi announces a Saudi Arabia market or critical-communications expansion tied to LEAP 2026,1,MXVi Secures Major Saudi Contract and Showcases Vi5 In-Vehicle Platform at LEAP 2026,LEAP 2026,2026-08-31,MXVi Takes a Huge Leap Forward in Saudi Arabia,https://www.criticalcommunicationsreview.com/ccr/news/119565/mxvi-takes-a-huge-leap-forward-in-saudi-arabia,NA,"MXVi, a provider of mission-critical vehicle intelligence systems, announced its participation at LEAP 2026 alongside Aramco Digital. The company is presenting its Vi5 in-vehicle device, which supports legacy mobile radio and mission-critical LTE/5G. MXVi also revealed it has been awarded a major contract in Saudi Arabia, marking a significant milestone in its global expansion following deployments with the UK Home Office and a major European airport. This represents a concrete business win and product showcase for the region.","MXVi attending LEAP 2026 at Riyadh Exhibition & Convention Centre; Showcasing at Aramco Digital stand (Hall 1, Stand D30); Presenting Vi5 in-vehicle device; Vi5 supports legacy mobile radio and LTE/5G; Vi5 is certified by Google and major MCX providers; MXVi awarded a new major contract in Saudi Arabia; Executive Regional Director for Gulf is Dr. Mohamad Alawad; Head of Strategy and Business Development is Peter Clemons",MXVi | Aramco Digital,Dr. Mohamad Alawad | Peter Clemons,Critical Communications,Mission-Critical Systems | Public Safety | 5G Communications | Defense Tech,"MXVi, LEAP 2026, Saudi Arabia expansion, mission-critical communications, Vi5 platform, Aramco Digital, public safety tech",NA,NA,NA,,NA,95,
Octave unveils or demonstrates an intelligence-at-scale platform at LEAP 2026,1,Octave Demonstrates Connected Intelligence Platform for Asset Lifecycle Management at LEAP 2026,LEAP 2026,2026-08-31,Octave at LEAP 2026: Unleashing intelligence at scale,https://www.tahawultech.com/enterprise/octave-at-leap-2026-unleashing-intelligence-at-scale/,NA,"At LEAP 2026, Octave, recently spun off from Hexagon, showcased its expanded portfolio of industrial, engineering, and geospatial technologies. The company is demonstrating how its connected intelligence solutions help organizations simplify complexity across the asset lifecycle. This launch is particularly relevant for the Middle East, where governments and enterprises are investing heavily in AI, digital twins, and smart infrastructure as part of national transformation programs. Octave's approach focuses on connecting contextual, explainable, and actionable intelligence to operational data, enabling faster and more informed decisions at scale. The story provides a concrete product demonstration and strategic vision for industrial modernization, making it a strong candidate for a TechScoop Desk article. This lead does not duplicate existing coverage.","Octave recently launched as an independent company spun off from Hexagon; It focuses on asset lifecycle intelligence and geospatial technologies; Joseph El Bitar is the Senior Vice President & General Manager for Middle East, Türkiye & Africa; The company demonstrated connected intelligence solutions at LEAP 2026; The solutions aim to improve operational resilience and optimize investment decisions.",Octave | Hexagon,Joseph El Bitar,Enterprise Tech,Artificial Intelligence | Asset Management | Digital Transformation | Industrial Modernisation,"Octave, LEAP 2026, intelligence at scale, Hexagon spin-off, digital transformation, asset lifecycle intelligence, AI in enterprise, industrial modernisation",NA,Octave,Image provided by Octave for press use.,,NA,90,
Saudi Ministry of Justice presents AI applications and beneficiary-experience enhancements at LEAP 2026,1,Saudi Justice Ministry unveils AI-driven user experience enhancements,LEAP 2026,2026-08-30,Justice Ministry Presents Enhancements to User Experience and AI Applications at LEAP 2026,https://www.spa.gov.sa/en/N2664693,https://english.ajel.sa/saudi-arabia/lk7of5das,"The Saudi Ministry of Justice is participating in the LEAP 2026 conference, highlighting its integration of artificial intelligence and data to redesign judicial services from a user-centric perspective. The ministry introduced a \""Rights Protection System\"" at its exhibition stand, which focuses on four key pillars: prevention, clarity, quality, and enforcement. This system is designed to safeguard rights before disputes arise, enhance the user experience, improve the quality of judicial work, and empower related legal professions. The initiative represents the next phase of the ministry's digital transformation journey, moving toward institutional maturity and the application of technology to raise the quality of judicial outcomes. This announcement is distinct and not duplicated in the existing coverage inventory.","The Saudi Ministry of Justice is participating in LEAP 2026; The ministry is showcasing AI and data applications to enhance judicial services; A \""Rights Protection System\"" was presented at the exhibition stand; The system is built on four pillars: prevention, clarity, quality, and enforcement; The initiative aims to protect rights before disputes arise and improve user experience; The effort is part of the ministry's ongoing digital transformation journey toward institutional maturity.",Saudi Ministry of Justice,NA,Government Tech,Artificial Intelligence | Digital Transformation | E-Government | Legal Tech,"Saudi Ministry of Justice, LEAP 2026, AI applications, judicial services, digital transformation, user experience, rights protection system, legal tech, Saudi Arabia, e-government",https://portalcdn.spa.gov.sa/backend/original/202608/M10694250.png,Saudi Press Agency,"Official state media image, available for editorial use.",,NA,90,
RIOTEC connects Middle East systems integrators with Taiwanese barcode-scanning expertise at LEAP 2026,1,RIOTEC Connects Middle East Integrators With Taiwan Barcode Expertise,LEAP 2026,2026-08-25,RIOTEC to showcase barcode scanning expertise at LEAP 2026,https://gecnewswire.com/riotec-to-showcase-barcode-scanning-expertise-at-leap-2026/,https://www.riotec.com.tw/list/cate-405170.htm,"Taiwanese barcode specialist RIOTEC will participate in LEAP 2026 at the New Taipei City Pavilion, offering remote consultations for Middle East system integrators and equipment manufacturers. The company aims to provide high-performance scan engines and embedded modules for logistics, healthcare, and retail systems. RIOTEC's offerings include compact scan engines, embedded barcode scanner modules, fixed-mount scanners, and mobile scanning devices designed for space-constrained equipment like medical devices and self-service kiosks. In addition to standard products, RIOTEC provides OEM and ODM support covering hardware configuration, interfaces, and scanning performance. This allows equipment developers to incorporate barcode scanning functionality into their systems while reducing integration complexity. Visitors to LEAP 2026 can visit the New Taipei City Pavilion to arrange live connections with RIOTEC's team in Taiwan.","RIOTEC participating in LEAP 2026 at New Taipei City Pavilion; Offering remote consultations for Middle East system integrators; Providing high-performance scan engines and embedded modules; Target industries include logistics, healthcare, and retail; Offering OEM and ODM support for hardware configuration and interfaces; Products designed for space-constrained equipment like medical devices and kiosks.",RIOTEC,NA,Enterprise Technology,Barcode Scanning | Hardware | System Integration | Logistics Tech,"RIOTEC, LEAP 2026, barcode scanning, Middle East system integrators, OEM/ODM support, Taiwan technology, logistics, retail systems",NA,NA,NA,,NA,95,
Tencent Cloud partners with TruKKer in Saudi Arabia ahead of or at LEAP 2026,50,Tencent Cloud Inks TruKKer Partnership Ahead of LEAP 2026,LEAP 2026,2026-08-26,Tencent Cloud Partners with Logistics Platform TruKKer in Saudi Amid Regional Expansion,https://www.tencentcloud.com/dynamic/news-details/101485,https://finance.yahoo.com/technology/ai/articles/tencent-cloud-partners-logistics-platform-060400456.html | https://enterpriseitworldmea.com/tencent-cloud-expands-middle-east-footprint-with-trukker-partnership-and-ai-push-in-saudi-arabia/ | https://hostingjournalist.com/news/tencent-cloud-wins-trukker-logistics-platform-migration-in-saudi-arabia,"Tencent Cloud has announced a strategic partnership with TruKKer, the MENA region's largest digital freight network, ahead of LEAP 2026. TruKKer will migrate its logistics platform to Tencent Cloud's Saudi Arabia region and adopt CodeBuddy, Tencent's AI-powered coding assistant, to enhance DevOps operations. The partnership coincides with Tencent's global rollout of its Hy3 AI model and builds on its ongoing investment in the region, including a $150 million commitment and obtaining the Class C License from Saudi Arabia's CST. This is a concrete cloud migration and AI adoption deal for Tencent's local infrastructure. The story is distinct and verified across official press releases and reputable IT media.","TruKKer is migrating its logistics platform to Tencent Cloud's Saudi Arabia region; TruKKer will adopt Tencent's AI-powered coding assistant, CodeBuddy; Tencent Cloud obtained Class C License from Saudi Arabia's CST; Tencent announced a $150 million investment commitment in its Saudi cloud region in 2025; Tencent recently launched its Hy3 AI model globally; TruKKer is MENA's largest digital freight network.",Tencent Cloud | TruKKer,Rachel Xie | Pradeep Mallavarapu,Cloud & Infrastructure,Cloud Computing | Logistics & Supply Chain | AI & Machine Learning | Enterprise Tech,"Tencent Cloud, TruKKer, LEAP 2026, Saudi Arabia cloud, CodeBuddy, Hy3 AI, digital freight network, logistics technology, cloud migration",https://media.zenfs.com/en/prnewswire.com/ce7f4a87e17bff9cb3cf2cd3f73bd2ba.jpg,Tencent Cloud / PR Newswire,"Press release image, generally cleared for editorial use.",,NA,100,
Omani technology delegation of 24 companies and any concrete product or agreement announced at LEAP 2026,1,24 Omani Tech Companies Showcase Services at LEAP 2026,LEAP 2026,2026-08-31,Omani tech firms showcase services at LEAP 2026 in Saudi,https://www.muscatdaily.com/2026/08/31/omani-tech-firms-showcase-services-at-leap-2026-in-saudi/,https://www.fananews.com/language/en/24-omani-companies-showcase-services-at-leap-2026-in-saudi-arabia/ | https://x.com/ONA_eng/status/2094387779472121945,"The Sultanate of Oman is participating in LEAP 2026 with a delegation of 24 technology companies. The participation is spearheaded by Oman's Ministry of Transport, Communications and Information Technology as part of its efforts to support local startups through the 'Numou' programme. This initiative is designed to help growth-stage companies expand their presence in Saudi and wider regional markets, build partnerships, and explore investment opportunities. The Omani companies will showcase their technical products and solutions to investors and stakeholders in Riyadh. This represents a distinct ecosystem and regional cooperation angle, highlighting cross-border tech expansion between Oman and Saudi Arabia, which is not covered in the existing LEAP 2026 inventory.","Oman's delegation to LEAP 2026 includes 24 technology companies; The participation is supported by the Ministry of Transport, Communications and Information Technology; The initiative is part of the 'Numou' programme aimed at growth-stage companies; The goal is to access Saudi and regional markets, and expand digital exports; Companies will hold business meetings to explore cooperation and partnerships; The event opened on Monday, August 31, 2026, in Riyadh.","Ministry of Transport, Communications and Information Technology | Oman News Agency",NA,Startups & Ecosystem,Oman | Tech Startups | Regional Expansion | Numou Programme,"Oman tech delegation LEAP 2026, Omani startups Riyadh, Numou programme Oman, MTCIT Oman LEAP, Saudi regional expansion tech, 24 Omani companies LEAP, Oman technology sector, tech partnerships Saudi Oman",NA,NA,NA,,NA,95,
Saudi Red Crescent deploys technology-supported emergency preparedness on roads serving LEAP 2026,1,Saudi Red Crescent Deploys Specialized Emergency Teams for LEAP 2026,LEAP 2026,2026-08-31,Red Crescent in Riyadh Enhances Emergency Medical Preparedness on Roads Leading to LEAP 2026,https://www.spa.gov.sa/en/N2665152,https://english.ajel.sa/saudi-arabia/izj5bv1gf,"The Saudi Red Crescent Authority (SRCA) in the Riyadh Region has significantly enhanced its emergency medical preparedness to support the massive influx of attendees at LEAP 2026. Announced on August 31, 2026, the deployment includes nine specialized ambulance teams, the rapid response unit \""Abya,\"" and the mass casualty response bus \""Uhud,\"" stationed along the roads leading to the exhibition site. This strategic move aims to ensure swift and effective management of any medical emergencies in the heavily trafficked areas surrounding the event. The initiative is part of the SRCA's broader plan to support major events in Riyadh by increasing ambulance coverage and maintaining round-the-clock operational readiness. This operational deployment provides a concrete public-sector infrastructure angle, highlighting the logistical and healthcare preparations necessary to safely host the world's most attended tech event.","Saudi Red Crescent Authority deployed specialized teams on roads to LEAP 2026; Deployment includes nine ambulance teams; Features the rapid response unit \""Abya\""; Includes the mass casualty response bus \""Uhud\""; Aims to ensure swift response and effective management of emergencies; Part of SRCA's plan to support major events in Riyadh; Authority maintains operational readiness around the clock",Saudi Red Crescent Authority,NA,Infrastructure,Saudi Red Crescent Authority | Emergency Preparedness | Riyadh | Event Management | Healthcare Technology,"Saudi Red Crescent Authority, SRCA, LEAP 2026, emergency preparedness, Riyadh events, Abya rapid response, Uhud mass casualty bus, ambulance teams, Saudi healthcare, event safety",https://portalcdn.spa.gov.sa/backend/original/202608/M10697707.jpg,Saudi Press Agency,"Official Saudi Press Agency image, cleared for editorial use.",,NA,95,
