sequence,slug,title,event_bucket,display_datetime_local,display_datetime_utc,workflow_status
1,aws-to-launch-saudi-cloud-region-in-december-2026-with-humain-ai-zone,AWS to Launch Saudi Cloud Region in December 2026 with HUMAIN AI Zone,Both,2026-08-31T12:00:00+03:00,2026-08-31T09:00:00Z,draft
2,humain-and-datavolt-break-ground-on-100mw-ai-data-center-at-neom,HUMAIN and DataVolt Break Ground on 100MW AI Data Center at NEOM,Both,2026-08-31T12:07:16+03:00,2026-08-31T09:07:16Z,draft
3,adobe-grants-4b-in-free-ai-tools-to-27m-saudi-residents,Adobe grants $4B in free AI tools to 27M Saudi residents,LEAP 2026,2026-08-31T12:14:32+03:00,2026-08-31T09:14:32Z,draft
4,honor-to-unveil-world-s-first-robot-phone-at-leap-2026,HONOR to Unveil World's First Robot Phone at LEAP 2026,LEAP 2026,2026-08-31T12:21:47+03:00,2026-08-31T09:21:47Z,draft
5,amd-mcit-and-dco-launch-open-ai-developer-ecosystem-at-leap-2026,"AMD, MCIT and DCO Launch Open AI Developer Ecosystem at LEAP 2026",DeepFest 2026,2026-08-31T12:29:03+03:00,2026-08-31T09:29:03Z,draft
6,humain-and-minio-partner-to-build-ai-native-data-fabric-at-leap-2026,HUMAIN and MinIO Partner to Build AI-Native Data Fabric at LEAP 2026,DeepFest 2026,2026-08-31T12:36:19+03:00,2026-08-31T09:36:19Z,draft
7,humain-and-kora-co-develop-ai-native-linux-os-for-2027-launch,HUMAIN and KORA Co-Develop AI-Native Linux OS for 2027 Launch,DeepFest 2026,2026-08-31T12:43:35+03:00,2026-08-31T09:43:35Z,draft
8,aces-and-movandi-partner-on-saudi-5g-and-6g-infrastructure,ACES and Movandi Partner on Saudi 5G and 6G Infrastructure,LEAP 2026,2026-08-31T12:50:50+03:00,2026-08-31T09:50:50Z,draft
9,lenovo-unveils-first-saudi-made-laptop-at-leap-2026-ahead-of-mass-production,Lenovo Unveils First Saudi-Made Laptop at LEAP 2026 Ahead of Mass Production,LEAP 2026,2026-08-31T12:58:06+03:00,2026-08-31T09:58:06Z,draft
10,pasqal-and-kacst-launch-quantum-cryptography-research-ahead-of-leap-2026,Pasqal and KACST Launch Quantum Cryptography Research Ahead of LEAP 2026,LEAP 2026,2026-08-31T13:05:22+03:00,2026-08-31T10:05:22Z,draft
11,data-dynamics-launches-enterprise-2-0-5-at-leap-2026-to-solve-ai-data-governance-bottleneck,Data Dynamics launches Enterprise 2.0.5 at LEAP 2026 to solve AI data governance bottleneck,DeepFest 2026,2026-08-31T13:12:38+03:00,2026-08-31T10:12:38Z,draft
12,think-unveils-think-fabric-at-leap-2026-to-optimize-bare-metal-ai-compute,Think Unveils Think Fabric at LEAP 2026 to Optimize Bare-Metal AI Compute,DeepFest 2026,2026-08-31T13:19:53+03:00,2026-08-31T10:19:53Z,draft
13,netapp-showcases-ai-ready-data-infrastructure-and-autonomous-security-at-leap-2026,NetApp Showcases AI-Ready Data Infrastructure and Autonomous Security at LEAP 2026,LEAP 2026,2026-08-31T13:27:09+03:00,2026-08-31T10:27:09Z,draft
14,ifs-and-microsoft-showcase-real-world-industrial-ai-applications-at-leap-2026,IFS and Microsoft showcase real-world industrial AI applications at LEAP 2026,DeepFest 2026,2026-08-31T13:34:25+03:00,2026-08-31T10:34:25Z,draft
15,smobler-explores-robin-ai-expansion-to-halal-compliance-at-leap-2026,Smobler Explores Robin AI Expansion to Halal Compliance at LEAP 2026,LEAP 2026,2026-08-31T13:41:41+03:00,2026-08-31T10:41:41Z,draft
16,voiset-2-0-brings-ai-voice-planning-and-full-arabic-support-to-mena-at-leap-2026,Voiset 2.0 Brings AI Voice Planning and Full Arabic Support to MENA at LEAP 2026,LEAP 2026,2026-08-31T13:48:56+03:00,2026-08-31T10:48:56Z,draft
17,salam-unveils-ai-enabled-cloud-and-connectivity-infrastructure-at-leap-2026,Salam unveils AI-enabled cloud and connectivity infrastructure at LEAP 2026,LEAP 2026,2026-08-31T13:56:12+03:00,2026-08-31T10:56:12Z,draft
18,mannai-it-saudi-showcases-ai-for-smart-cities-at-leap-2026,Mannai IT Saudi Showcases AI for Smart Cities at LEAP 2026,LEAP 2026,2026-08-31T14:03:28+03:00,2026-08-31T11:03:28Z,draft
19,aws-launches-free-ai-academy-and-hackathon-at-leap-2026,AWS Launches Free AI Academy and Hackathon at LEAP 2026,Both,2026-08-31T14:10:44+03:00,2026-08-31T11:10:44Z,draft
20,specialized-by-stc-unveils-national-capability-layers-at-leap-2026,Specialized by stc Unveils National Capability Layers at LEAP 2026,LEAP 2026,2026-08-31T14:17:59+03:00,2026-08-31T11:17:59Z,draft
21,ericsson-showcases-5g-advanced-and-ai-networks-at-leap-2026,Ericsson Showcases 5G Advanced and AI Networks at LEAP 2026,LEAP 2026,2026-08-31T14:25:15+03:00,2026-08-31T11:25:15Z,draft
22,huawei-unveils-ai-powered-enterprise-solutions-under-advancing-industrial-all-intelligence-theme-at-leap-2026,Huawei Unveils AI-Powered Enterprise Solutions Under 'Advancing Industrial All Intelligence' Theme at LEAP 2026,LEAP 2026,2026-08-31T14:32:31+03:00,2026-08-31T11:32:31Z,draft
23,cisco-unveils-saudi-cloud-data-centers-and-local-manufacturing-plans,Cisco unveils Saudi cloud data centers and local manufacturing plans,LEAP 2026,2026-08-31T14:39:47+03:00,2026-08-31T11:39:47Z,draft
24,ibm-and-ejada-systems-use-ai-agent-bob-to-accelerate-enterprise-modernization-in-saudi-arabia,IBM and Ejada Systems Use AI Agent Bob to Accelerate Enterprise Modernization in Saudi Arabia,DeepFest 2026,2026-08-31T14:47:02+03:00,2026-08-31T11:47:02Z,draft
25,sbm-unveils-maxera-3d-digital-twin-powered-by-ibm-maximo-at-leap-2026,SBM Unveils Maxera 3D Digital Twin Powered by IBM Maximo at LEAP 2026,LEAP 2026,2026-08-31T14:54:18+03:00,2026-08-31T11:54:18Z,draft
26,cloudflare-spotlights-agentic-ai-infrastructure-and-security-at-leap-2026,Cloudflare Spotlights Agentic AI Infrastructure and Security at LEAP 2026,DeepFest 2026,2026-08-31T15:01:34+03:00,2026-08-31T12:01:34Z,draft
27,mobiz-launches-three-enterprise-ai-and-cloud-solutions-at-leap-2026,Mobiz launches three enterprise AI and cloud solutions at LEAP 2026,LEAP 2026,2026-08-31T15:08:50+03:00,2026-08-31T12:08:50Z,draft
28,horizontal-digital-debuts-agentic-ai-concierge-with-salesforce-at-leap-2026,Horizontal Digital Debuts Agentic AI Concierge with Salesforce at LEAP 2026,DeepFest 2026,2026-08-31T15:16:05+03:00,2026-08-31T12:16:05Z,draft
29,link-development-launches-frontier-ascent-agentic-ai-operating-model-at-leap-2026,Link Development Launches Frontier Ascent Agentic AI Operating Model at LEAP 2026,DeepFest 2026,2026-08-31T15:23:21+03:00,2026-08-31T12:23:21Z,draft
30,twaasol-showcases-mena-first-cisco-meeting-rooms-certification-at-leap-2026,Twaasol Showcases MENA-First Cisco Meeting Rooms Certification at LEAP 2026,LEAP 2026,2026-08-31T15:30:37+03:00,2026-08-31T12:30:37Z,draft
31,connect-ps-and-cisco-debut-splunk-observability-for-contact-centers-at-leap-2026,CONNECT PS and Cisco Debut Splunk Observability for Contact Centers at LEAP 2026,LEAP 2026,2026-08-31T15:37:53+03:00,2026-08-31T12:37:53Z,draft
32,jisr-unveils-next-gen-integrated-hr-and-finance-platform-at-leap-2026,Jisr Unveils Next-Gen Integrated HR and Finance Platform at LEAP 2026,LEAP 2026,2026-08-31T15:45:08+03:00,2026-08-31T12:45:08Z,draft
33,mozn-expands-enterprise-ai-focus-at-leap-2026-following-humain-investment,MOZN Expands Enterprise AI Focus at LEAP 2026 Following HUMAIN Investment,DeepFest 2026,2026-08-31T15:52:24+03:00,2026-08-31T12:52:24Z,draft
34,accenture-to-unveil-sovereign-ai-strategy-research-at-leap-2026,Accenture to Unveil Sovereign AI Strategy Research at LEAP 2026,DeepFest 2026,2026-08-31T15:59:40+03:00,2026-08-31T12:59:40Z,draft
35,oracle-and-amd-partner-on-50-000-mi450-gpu-supercluster-at-deepfest-2026,"Oracle and AMD Partner on 50,000 MI450 GPU Supercluster at DeepFest 2026",DeepFest 2026,2026-08-31T16:06:56+03:00,2026-08-31T13:06:56Z,draft
36,amd-cisco-and-humain-launch-live-ai-infrastructure-in-saudi-arabia,"AMD, Cisco, and HUMAIN Launch Live AI Infrastructure in Saudi Arabia",DeepFest 2026,2026-08-31T16:14:12+03:00,2026-08-31T13:14:12Z,draft
37,snowflake-plans-strategic-mcit-initiative-at-leap-2026-for-saudi-ai-expansion,Snowflake plans strategic MCIT initiative at LEAP 2026 for Saudi AI expansion,LEAP 2026,2026-08-31T16:21:27+03:00,2026-08-31T13:21:27Z,draft
38,sparklabs-saudi-to-debut-8-portfolio-startups-at-leap-2026,SparkLabs Saudi to debut 8 portfolio startups at LEAP 2026,LEAP 2026,2026-08-31T16:28:43+03:00,2026-08-31T13:28:43Z,draft
39,ignite-brings-10-promising-pakistani-startups-to-leap-2026,Ignite Brings 10 Promising Pakistani Startups to LEAP 2026,LEAP 2026,2026-08-31T16:35:59+03:00,2026-08-31T13:35:59Z,draft
40,new-taipei-city-government-brings-20-taiwanese-tech-companies-to-leap-2026,New Taipei City Government Brings 20 Taiwanese Tech Companies to LEAP 2026,LEAP 2026,2026-08-31T16:43:15+03:00,2026-08-31T13:43:15Z,draft
41,taiwan-excellence-brings-22-ai-hardware-brands-to-leap-2026-debut,Taiwan Excellence Brings 22 AI Hardware Brands to LEAP 2026 Debut,LEAP 2026,2026-08-31T16:50:30+03:00,2026-08-31T13:50:30Z,draft
42,leap-2026-tech-arena-showcases-unitree-and-agibot-humanoid-robots,LEAP 2026 Tech Arena Showcases Unitree and AGIBOT Humanoid Robots,LEAP 2026,2026-08-31T16:57:46+03:00,2026-08-31T13:57:46Z,draft
43,livnsense-greenops-selected-as-top-100-rocket-fuel-finalist-at-leap-2026,LivNSense GreenOps Selected as Top 100 Rocket Fuel Finalist at LEAP 2026,LEAP 2026,2026-08-31T17:05:02+03:00,2026-08-31T14:05:02Z,draft
44,ntt-data-showcases-sovereign-ai-and-smart-cities-at-leap-2026,NTT DATA Showcases Sovereign AI and Smart Cities at LEAP 2026,LEAP 2026,2026-08-31T17:12:18+03:00,2026-08-31T14:12:18Z,draft
45,saudi-arabia-launches-samai-2-ai-procurement-across-11-ministries,Saudi Arabia Launches SAMAI 2 AI Procurement Across 11 Ministries,DeepFest 2026,2026-08-31T17:19:33+03:00,2026-08-31T14:19:33Z,draft
46,microsoft-brings-humain-s-arabic-ai-models-to-global-platforms,Microsoft Brings HUMAIN's Arabic AI Models to Global Platforms,DeepFest 2026,2026-08-31T17:26:49+03:00,2026-08-31T14:26:49Z,draft
47,leap-nights-partners-with-f1-saudi-arabia-for-2027-grand-prix-early-access,LEAP Nights Partners With F1 Saudi Arabia For 2027 Grand Prix Early Access,LEAP 2026,2026-08-31T17:34:05+03:00,2026-08-31T14:34:05Z,draft
48,unifonic-unveils-agentic-ai-customer-experience-strategy-at-leap-2026,Unifonic Unveils Agentic AI Customer Experience Strategy at LEAP 2026,DeepFest 2026,2026-08-31T17:41:21+03:00,2026-08-31T14:41:21Z,draft
49,mxvi-secures-major-saudi-contract-and-showcases-vi5-in-vehicle-platform-at-leap-2026,MXVi Secures Major Saudi Contract and Showcases Vi5 In-Vehicle Platform at LEAP 2026,LEAP 2026,2026-08-31T17:48:36+03:00,2026-08-31T14:48:36Z,draft
50,octave-demonstrates-connected-intelligence-platform-for-asset-lifecycle-management-at-leap-2026,Octave Demonstrates Connected Intelligence Platform for Asset Lifecycle Management at LEAP 2026,LEAP 2026,2026-08-31T17:55:52+03:00,2026-08-31T14:55:52Z,draft
51,saudi-justice-ministry-unveils-ai-driven-user-experience-enhancements,Saudi Justice Ministry unveils AI-driven user experience enhancements,LEAP 2026,2026-08-31T18:03:08+03:00,2026-08-31T15:03:08Z,draft
52,riotec-connects-middle-east-integrators-with-taiwan-barcode-expertise,RIOTEC Connects Middle East Integrators With Taiwan Barcode Expertise,LEAP 2026,2026-08-31T18:10:24+03:00,2026-08-31T15:10:24Z,draft
53,tencent-cloud-inks-trukker-partnership-ahead-of-leap-2026,Tencent Cloud Inks TruKKer Partnership Ahead of LEAP 2026,LEAP 2026,2026-08-31T18:17:39+03:00,2026-08-31T15:17:39Z,draft
54,24-omani-tech-companies-showcase-services-at-leap-2026,24 Omani Tech Companies Showcase Services at LEAP 2026,LEAP 2026,2026-08-31T18:24:55+03:00,2026-08-31T15:24:55Z,draft
55,saudi-red-crescent-deploys-specialized-emergency-teams-for-leap-2026,Saudi Red Crescent Deploys Specialized Emergency Teams for LEAP 2026,LEAP 2026,2026-08-31T18:32:11+03:00,2026-08-31T15:32:11Z,draft
56,riyadh-metro-launches-dedicated-leap-2026-shuttle-route,Riyadh Metro Launches Dedicated LEAP 2026 Shuttle Route,LEAP 2026,2026-08-31T18:39:27+03:00,2026-08-31T15:39:27Z,draft
57,saudi-tourism-ministry-launches-unified-digital-platform-at-leap-2026,Saudi Tourism Ministry Launches Unified Digital Platform at LEAP 2026,LEAP 2026,2026-08-31T18:46:42+03:00,2026-08-31T15:46:42Z,draft
58,tahakom-technology-unveils-smart-pass-and-siraj-ai-solutions-at-leap-2026,Tahakom Technology Unveils Smart Pass and Siraj AI Solutions at LEAP 2026,LEAP 2026,2026-08-31T18:53:58+03:00,2026-08-31T15:53:58Z,draft
59,leap-2026-tech-arena-showcases-ai-powered-prosthetics-and-brain-computer-interfaces,LEAP 2026 Tech Arena Showcases AI-Powered Prosthetics and Brain-Computer Interfaces,LEAP 2026,2026-08-31T19:01:14+03:00,2026-08-31T16:01:14Z,draft
60,kanz-and-saudi-hrsd-bring-ai-guinness-world-record-to-leap-2026,Kanz and Saudi HRSD Bring AI Guinness World Record to LEAP 2026,LEAP 2026,2026-08-31T19:08:30+03:00,2026-08-31T16:08:30Z,draft
61,mobily-and-nokia-sign-mou-to-advance-ai-powered-network-efficiency-at-leap-2026,Mobily and Nokia Sign MoU to Advance AI-Powered Network Efficiency at LEAP 2026,LEAP 2026,2026-08-31T19:15:45+03:00,2026-08-31T16:15:45Z,draft
62,saudi-arabia-s-digital-experience-maturity-rises-to-87,Saudi Arabia's Digital Experience Maturity Rises to 87%,LEAP 2026,2026-08-31T19:23:01+03:00,2026-08-31T16:23:01Z,draft
63,masdar-showcases-data-and-ai-solutions-at-leap-2026,Masdar Showcases Data and AI Solutions at LEAP 2026,LEAP 2026,2026-08-31T19:30:17+03:00,2026-08-31T16:30:17Z,draft
64,saudi-council-of-engineers-launches-mu-tamad-platform-at-leap-2026,Saudi Council of Engineers Launches Mu'tamad Platform at LEAP 2026,LEAP 2026,2026-08-31T19:37:33+03:00,2026-08-31T16:37:33Z,draft
65,saudi-social-development-bank-launches-ai-smart-collection-service-at-leap-2026,Saudi Social Development Bank Launches AI Smart Collection Service at LEAP 2026,LEAP 2026,2026-08-31T19:44:48+03:00,2026-08-31T16:44:48Z,draft
66,microsoft-confirms-saudi-arabia-east-cloud-region-launch-for-november-2026,Microsoft Confirms Saudi Arabia East Cloud Region Launch for November 2026,LEAP 2026,2026-08-31T19:52:04+03:00,2026-08-31T16:52:04Z,draft
