R001	Both	AWS Saudi cloud region + HUMAIN AI Zone (Dec 2026 + 50MW by 2028)
R002	Both	HUMAIN + DataVolt break ground on 100MW of 360MW AI DC at NEOM Oxagon
R003	LEAP 2026	Adobe + MCIT + HUMAIN $4B access to AI tools for 27M residents + culturally tuned model
R004	LEAP 2026	HONOR to debut world’s first Robot Phone
R005	DeepFest 2026	AMD + MCIT + DCO open AI developer ecosystem (ROCm, governance training)
R006	DeepFest 2026	HUMAIN + MinIO strategic partnership to co-develop HUMAIN Fabric (AI-native data platform)
R009	DeepFest 2026	HUMAIN + KORA to co-develop HUMAIN OS (AI-native enterprise Linux) for 2027
R010	LEAP 2026	ACES + Movandi MoU to localize 5G/6G infra (mmWave + Open RAN)
R011	LEAP 2026	Lenovo unveils first Saudi-manufactured laptop; Riyadh facility with ALAT
R013	LEAP 2026	Pasqal + KACST quantum research collaboration (quantum-safe cryptography)
R014	DeepFest 2026	Data Dynamics Enterprise 2.0.5 GA (governed AI at data layer, BYOM, PDPL)
R015	DeepFest 2026	Think unveils Think Fabric (bare-metal, heterogeneous AI compute)
R017	LEAP 2026	NetApp Intelligent Data Infrastructure demos for AI-ready, autonomous data protection
R018	DeepFest 2026	IFS + Microsoft: Industrial AI from experimentation to execution
R019	LEAP 2026	Smobler explores Halal compliance expansion for Robin AI
R020	LEAP 2026	Voiset 2.0 MENA launch with full Arabic/RTL and bilingual voice
R022	LEAP 2026	Salam strategic sponsorship + Connectivity+ AI/cloud solutions
R023	LEAP 2026	Mannai IT Saudi showcases AI for smart cities and connected stadiums
R024	Both	AWS AI Academy (Learn/Build/Certify + Agentic AI Hackathon)
R027	LEAP 2026	specialized by stc unveils Business Critical Network + Hadath platform
R028	LEAP 2026	Ericsson to showcase 5G Advanced, AI networks, mission-critical connectivity
R029	LEAP 2026	Huawei Enterprise theme ‘Advancing Industrial All Intelligence’ with sector solutions
R030	LEAP 2026	Cisco KSA presence: cloud data centers live + local manufacturing plan
R031	DeepFest 2026	IBM + Ejada use ‘IBM Bob’ to accelerate enterprise modernization in KSA
R033	LEAP 2026	SBM launches Maxera 3D digital twin on IBM Maximo/watsonx
R036	DeepFest 2026	Cloudflare AI security for agentic infrastructure (Zero Trust, Firewall for AI)
